"ID","SMILES","CNNscore","minimizedAffinity","IFP_scores"
"DeepCoy_ID_0","Cc1ccc2c(CCC(=O)C(=O)Nc3ccc(C)c4ccccc34)coc2c1C","0.6079838872",-10.11916,0.666667
"DeepCoy_ID_1","CC1=C(C(=Cc2ccc(C)cc2)NC(=O)c2oc3c(c2C)CCC3)C(=O)CCC1","0.6430620551",-8.96194,0.444444
"DeepCoy_ID_2","Cc1ccc(CCC(=O)c2ccc3c(c2)C(=O)NC3=O)cc1C#CC1=CCC=C1","0.2269501686",-10.66664,0.444444
"DeepCoy_ID_3","CCOc1ccc(OCC(=O)Nc2cccc3ccccc23)cc1C1CCCC1","0.2468933314",-8.98975,0.75
"DeepCoy_ID_4","Cc1ccc(C(=O)c2ccc3oc4ccccc4c3c2)c(NC(=O)C(C)C)c1C","0.3565355539",-11.51865,0.666667
"DeepCoy_ID_5","CC=CC=C1CN(C(=O)c2ccc3oc(-c4cccc(C)c4)c(C)c3c2)CCO1","0.1995141953",-10.73821,0.222222
"DeepCoy_ID_6","CC(C)(C)OCC1CCN(C(=O)c2ccc(CCCCO)c3ccccc23)CC1","0.1583534181",-8.3778,0.333333
"DeepCoy_ID_7","CCCCc1ccc(NC(=O)C=c2c(C)ccc3c2=CC=CC3=O)cc1C(C)=O","0.2613943815",-8.08819,0.363636
"DeepCoy_ID_8","Cc1ccc(C(=O)Nc2ccc(Oc3ccc(C(C)(C)C)cc3C=O)cc2)cc1","0.277528286",-9.76608,0.5
"DeepCoy_ID_9","Cc1ccc(C(=O)CC2=CC=C(C(=O)Nc3cccc(C)c3C)C(=O)C2)cc1C","0.250449568",-12.00586,0.666667
"DeepCoy_ID_10","Cc1cc(C)cc(CCc2ccc(O)c(OCc3cc(C=O)ccn3)c2)c1","0.3025072515",-10.11275,0.666667
"DeepCoy_ID_11","CC=CC(=O)Nc1ccc(C(=O)c2ccccc2)cc1CC(=O)c1ccccc1","0.2901027501",-10.11275,0.545455
"DeepCoy_ID_12","CC=C1C=C(C=CC(=O)c2ccc(=O)n(CCCO)c2C)c2cc(C)c(C)cc21","0.273083508",-10.73331,0.666667
"DeepCoy_ID_13","Cc1ccc(CC(O)(CC(=O)OCCc2cccnc2)c2ccc(C)cc2)cc1","0.443662107",-9.47111,0.555556
"DeepCoy_ID_14","CCC=CC(=CC=O)C(=O)Nc1ccccc1C(=O)c1cccc2ccccc12","0.1250040382",-8.52502,0.571429
"DeepCoy_ID_15","CCc1cc2c(COc3ccc4c(c3)CCCC4=O)cccc2c(NC=O)c1C","0.4763356149",-11.73071,0.555556
"DeepCoy_ID_16","CCCC(=O)Nc1ccc2ccc(OC)c(CC(C)(C)CCc3ccco3)c2c1","0.0745372549",-7.61847,0.555556
"DeepCoy_ID_17","CCCC(=O)Oc1ccc2c(c1)C(O)c1c(n(CCC)c3cc(C)ccc13)CC2","0.0542988144",-7.52007,0.333333
"DeepCoy_ID_18","Cc1ccc(C=C(C=O)c2ccc(NC(C)C)c3c(CC(C)(C)O)cccc23)o1","0.115476869",-6.74048,0.3
"DeepCoy_ID_19","CC(O)c1ccc(CC(=O)N(c2cccc3ccccc23)C(C)C)cc1","0.062882416",-7.89118,0.2
"DeepCoy_ID_20","COC(=O)c1cccc(C(=O)NC(C)c2cccc3ccccc23)c1","0.4525845945",-9.57938,0.75
"DeepCoy_ID_21","CCc1cc(NC(=O)C(OC(=O)c2ccccc2)c2ccccc2)c(C)cc1C","0.1316193044",-8.72664,0.4
"DeepCoy_ID_22","CC(C)(C)c1ccc(NC(=O)C2(CCOc3cccc(C=O)c3)CCCC2)cc1","0.1785045564",-7.66734,0.181818
"DeepCoy_ID_23","CC1=COCC=C1C(=O)N(CCOc1ccc(C)c(C)c1)c1cc(C)cc(C)c1","0.2253282964",-8.72876,0.363636
"DeepCoy_ID_24","Cc1ccc(Oc2c(C)cccc2C(=O)NCC(O)c2ccccc2C)c(C)c1","0.1270610988",-8.67206,0.3
"DeepCoy_ID_25","Cc1ccc(-c2ccc(NC(=O)c3ccco3)cc2)cc1C(=O)c1ccccc1","0.3400490284",-11.78755,0.555556
"DeepCoy_ID_26","CCC1OCc2oc(C=C(NC(=O)c3ccccc3)c3ccc(C)c(C)c3)cc21","0.4687734246",-10.18833,0.75
"DeepCoy_ID_27","CCc1onc2c(C(=O)c3ccccc3O)ccc(C)c12","0.8189034462",-9.93497,0.75
"DeepCoy_ID_28","C=CC=C1CC=C(C(=O)Nc2ccc(OC)c(OC)c2)C2=C1C(=CC)C(=C)CC2","0.2113737464",-9.46088,0.5
"DeepCoy_ID_29","C=CC(Nc1ccc(OCC)cc1)=C1CCCCC1=CC(=O)c1cccc(O)c1","0.4075039923",-7.69044,0.363636
"DeepCoy_ID_30","CC(=O)c1ccccc1C(C)(O)N(Cc1ccccc1)C(=O)c1cccc(C)c1","0.2437152267",-7.44068,0.272727
"DeepCoy_ID_31","Cc1ccc(C(C)(C)C(O)CCCn2cccc(OCC3=CCC=C3)c2=O)cc1","0.4953544438",-9.41053,0.5
"DeepCoy_ID_32","CCC=C1CC(=O)c2[nH]c(C(=O)OC(C)c3cc(CCC)ccc3C)c(C)c2C1","0.6825818419",-9.25539,0.555556
"DeepCoy_ID_33","CC(C)=C1CC(C(=O)c2ccc3c(c2)Oc2ccccc2O3)=C(CC(C)(C)C)N1","0.5236372948",-10.20269,0.625
"DeepCoy_ID_34","C=Cc1cc(C=CCC(NC(=O)C(C)=CC)c2ccc3c(c2)OCO3)ccc1C","0.7618822455",-9.84992,0.6
"DeepCoy_ID_35","CC=C(C(C)=O)C(=Cc1cc(NCc2ccc(CC)cc2)ccc1C)C(=O)OC","0.1719737351",-8.54048,0.714286
"DeepCoy_ID_36","CCOC(=O)CC(C)C(=O)Nc1ccc2cc3c(cc2c1)CC(C)(C)C3(C)CC","0.1626314521",-9.11039,0.666667
"DeepCoy_ID_37","CCOc1cc(C(CC=O)c2ccc(N(C)C)c3c(C)cccc23)ccc1OC","0.5264313221",-8.03882,0.555556
"DeepCoy_ID_38","COC(=CC(=O)N(C(C)=CC=O)c1ccc(C(C)(C)C)cc1)c1ccc(C)cc1","0.3207499087",-8.1756,0.375
"DeepCoy_ID_39","CCC=C(C=O)c1[nH]c(=O)c(C=O)cccc2ccccc2ccc(C)cc1C","0.0316368006",-7.91743,0.3
"DeepCoy_ID_40","C=C1CCC=C1CN(C)C(CC(=O)OCc1ccccc1)c1ccccc1C=O","0.1478584409",-7.83798,0.444444
"DeepCoy_ID_41","CCCOc1ccccc1C(C)c1ccccc1C(=O)Nc1ccc(OC)cc1","0.1396573782",-8.09207,0.444444
"DeepCoy_ID_42","C=C(C)C(=O)C=C1CCN(C(=O)c2ccc(-c3ccc(C)cc3)cc2)C(CO)C1","0.152738288",-10.78525,0.555556
"DeepCoy_ID_43","CCOC(=O)C(=CC=CC(=O)c1ccccc1)N1C=C(C)CC1c1ccccc1","0.220933944",-7.73559,0.4
"DeepCoy_ID_44","C=C1C(=CC)C(CC(=O)N(CC)CC(=O)c2ccc(OC)cc2)c2ccccc21","0.0643064678",-7.65297,0.444444
"DeepCoy_ID_45","C=CC(=C)c1ccc(C(CCOC)NC(=O)CCc2ccc(CCCC)o2)cc1","0.504850626",-8.46336,0.666667
"DeepCoy_ID_46","CC=CC=c1c(OC)cccc1=CC1=CC(CC(C)C)=C2NCCC(=O)C=C2O1","0.1481083333",-8.36514,0.444444
"DeepCoy_ID_47","CC1(C)CCC=CCOc2ccccc2C(=O)N(CC2CC2)c2ccc1c(O)c2","0.1807192117",-6.86992,0.111111
"DeepCoy_ID_48","CC(NC(=O)C1Cc2cccc(OC3CCC3)c2O1)c1cccc2ccccc12","0.1027395576",-8.60931,0.4
"DeepCoy_ID_49","CCC(C)OC(=O)CCc1cccc(C(=CC(=O)N(C)C)c2cccc(C)c2)c1","0.318829298",-9.06205,0.555556
"DeepCoy_ID_50","Cc1ccc(CCNC(=O)c2cc(NC(=O)c3cccc(Br)c3C)ccc2C)cc1","0.0951318815",-9.32349,0.454545
"DeepCoy_ID_51","Cc1cccc(CC(=O)Nc2c(C)cc(NC(=O)Cc3ccc(Br)cc3)cc2C)c1","0.4190321267",-10.39257,0.7
"DeepCoy_ID_52","CCCCc1ccccc1C(=O)Nc1ccc(CNc2ccccc2C=O)cc1Br","0.1475059688",-9.7467,0.6
"DeepCoy_ID_53","CCc1ccc(C(=Cc2ccc(NC(C)=O)cc2)NC(=O)c2ccccc2)c(Br)c1","0.2949862778",-10.18492,0.6
"DeepCoy_ID_54","Cc1ccc(NC(=O)c2ccc(C(=O)Nc3cc(C)c(Br)c(C)c3C)cc2)cc1C","0.3661339879",-11.70765,0.555556
"DeepCoy_ID_55","CC(=Cc1ccc(Br)cc1)C=C(C)c1cc(C(=O)c2ccccc2)c(N)n(C)c1=O","0.0499886237",-7.85939,0.333333
"DeepCoy_ID_56","Cc1ccc(C(=O)Nc2ccc(C(=O)c3ccccc3)cc2CCBr)cc1N(C)C","0.7238641381",-10.35106,0.666667
"DeepCoy_ID_57","CCC(C)(C)c1ccc(C=C2NC(=O)C(Nc3cccc(CC(C)=O)c3)=C2Br)cc1","0.5601093769",-10.0408,0.4
"DeepCoy_ID_58","CC1=CC=CC(Br)=CC=C1NC(=O)CCc1cccc(NC(=O)c2ccccc2)c1","0.2196211368",-10.91488,0.625
"DeepCoy_ID_59","Cc1cccc(CNc2cccc(-c3ccc(C(=O)N(CCO)CCBr)cc3)c2)c1","0.2931847274",-9.44646,0.555556
