"ID","SMILES","CNNscore","minimizedAffinity","IFP_scores"
"6857767","C[C@@]12CC[C@H]([C@@](C1CCC(=C)[C@H]2C/C=C/3\[C@@H](COC3=O)O)(C)CO)O",0.1507921517,-7.84462,0.3
"6708597","C[C@@]1(CCC[C@]2(C1CCC(=C)C2CC[C@@](C)(C=C)O)C)CO",0.0261527523,-7.79142,0.2
"5377914","CC1=CC(=CC2=C1C(=O)C3=C(C=C(C=C3O2)O)O)OC",0.0973290429,-7.17297,0.2
"5839209","COC1=CC(=CC(=C1OC)OC)/C=C/C=O",0.1535887271,-6.91378,0.333333
"6708658","C[C@@H]1CC[C@@]2(CC[C@@]3(C(=CC(=O)C4[C@]3(CCC5[C@@]4(CC[C@@H](C5(C)C)OC(=O)C)C)C)C2[C@H]1C)C)C(=O)O",0.0253709555,-6.87002,0.0909091
"6708558","CC(=O)OC1=C(C2=C(C=C1)C3C4=CC(=C(C(=C4CC3(CO2)O)OC(=O)C)OC(=O)C)OC(=O)C)OC(=O)C",0.1415416151,-7.25061,0.333333
"5281650","CC(=CCC1=C(C2=C(C=C1O)OC3=C(C2=O)C(=C(C(=C3)O)OC)CC=C(C)C)O)C",0.0509435274,-6.91615,0.181818
"9605260","CC\1[C@H]2C[C@H](C2(C)C)C/C1=N\O",0.1237023026,-6.92214,0.3
"5702034","CC(=O)OCC(=O)[C@H]1CCC2[C@@]1(CCC3C2CCC4=CC(=O)CC[C@]34C)C",0.052416496,-7.3752,0.272727
"6481646","C[C@H]1[C@@H]2CC[C@]3(C=CC(=O)[C@@]4([C@@]3([C@H]2OC1=O)O4)C)C",0.194335863,-8.38932,0.272727
"96009","CC(=O)OC1=CC=C(C=C1)O",0.0780706778,-8.47684,0.444444
"54676535","CC(=CCC1=C2C(=C3C(=C1OC)C(=C(C(=O)O3)C4=CC=C(C=C4)O)O)C=CC(O2)(C)C)C",0.0736337826,-5.45639,0.222222
"4238966","CC(=CCC1=C2C(=C3C(=C1OC)C(=C(C(=O)O3)C4=CC=C(C=C4)OC(=O)C)OC(=O)C)C=CC(O2)(C)C)C",0.1472628713,-8.83125,0.666667
"71034","COC1=CC2=C(C=C1)OC3=CC=CC=C3C2=O",0.0669641346,-7.64596,0.272727
"3983547","CC(C)C1=CC2=C(C=C1)C3(CCCC(C3CC2)(C)C(=O)N)C",0.0651972443,-7.62159,0.25
"7595","C1=CC=C(C=C1)NC(=O)NC2=CC=CC=C2",0.0990546495,-6.04184,0.1
"6708732","COC1=CC=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3OC)OC",0.0434178002,-6.07128,0.25
"2752274","CN1CCC2=CC(=C(C=C2C1CC3=CC=C(C=C3)O)O)OC",0.1417212337,-5.91562,0.0833333
"6708584","CC(=O)O[C@@H]1CC2[C@@](C3[C@@]1(C45C(O4)C(=O)O[C@H]([C@@]5(CC3)C)C6=COC=C6)C)(C(=O)C=CC2(C)C)C",0.048446916,-7.2643,0.2
"6716","CC1=CC(=O)C2=C(O1)C=C3C(=C2OC)C=CO3",0.1903664619,-8.55433,0.4
"5701999","C[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=CC(=C4C(=O)C[C@H](OC4=C3)C5=CC(=C(C=C5)OC)O)O)O)O)O)O)O)O",0.0915269852,-8.29988,0.272727
"68094","CC1=C2C(=C3C=CC(=O)C=C3N2)C=CN1",0.0339758396,-8.56073,0.4
"637213","COC1=C(C=C(C=C1)/C=C/C2=CC(=CC(=C2)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O",0.0549785234,-7.34196,0.222222
"34751","C1=CC=C(C=C1)C(C#N)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O)O",0.1524516791,-6.99239,0.3
"3092","CC1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])C(=O)N",0.0396642573,-8.51858,0.25
"5702210","CCCC(=O)NC1=C2C(=NC=N1)N(C=N2)C3[C@@H]([C@H]4[C@H](O3)COP(=O)(O4)O)OC(=O)CCC",0.0796145499,-7.33567,0.222222
"5702213","CC1(O[C@@H]2[C@H]([C@H](OC2O1)C(CO)O)OCCCN(C)C)C",0.1650691777,-9.12584,0.555556
"5639","CN1C(=CC(=O)N(C1=O)C)NCCCN2CCN(CC2)C3=CC=CC=C3OC",0.1955820322,-8.23093,0.3
"6708799","C[C@H]1CC2C3CC[C@@](C3(C[C@@H](C2C4(C1=CC(=O)C=C4)C)O)C)(C(=O)COC(=O)C)O",0.0386790596,-8.72717,0.363636
"39147","CC(C)(C)NCC(COC1=CC=CC2=C1C[C@@H]([C@@H](C2)O)O)O",0.0423762798,-8.72352,0.214286
